disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,max_atom_area,sasa_area,sasa_volume,ip,ea,homo,lumo,bandgap,dipole_moment,electrophilicity,nucleophilicity,SMILES
367.0058626182378,350.57706642508487,18.845773515178376,45.408621936016715,9.342143167410574,35.99999999999999,530.2704014972504,824.1842934085306,11.632736498994747,5.629134739077623,-0.3296814013527336,-0.28703501277297494,-0.042570815020738936,4.420095738673467,1.1965453910560797,-6.786736498994749,[NH3]CCc1ccc(/C=C/c2cc(F)ccc2)cc1.[Cl]
297.21607182337806,281.97214730330245,18.501669489229364,43.32399587101906,9.398915029551373,29.000000000000007,434.5169053910463,663.325324157372,11.687254076150749,4.5431130486890865,-0.3330990233359452,-0.2610971304784917,-0.07182729811757785,4.060637602585816,0.7503636547722298,-6.841254076150748,[NH3]CCOc1cccc2ccccc12.[Cl]
364.4003625849371,347.5642270568871,18.768428515234003,45.021460500045436,9.225014776244242,36.0,523.8703463152235,809.8642327808409,11.475653047806764,5.405137647046085,-0.3279747664757159,-0.2786255322073828,-0.04934923426833306,4.4021841026187305,1.0663248090213022,-6.629653047806765,[NH3]CCc1ccc(/C=C/c2ccccc2)cc1.[Cl]
351.50944753152595,334.722006974753,19.224754998646247,48.99313394043334,9.53789794850364,34.00000000000001,490.31478670581095,772.6152592902532,11.518403006469539,5.711612271270373,-0.3310627106428777,-0.3107554643314039,-0.020317179785489907,4.29084276065446,1.2271319073549563,-6.67240300646954,[NH3]CCc1ccc(cc1)/N=N\c1ccccc1.[Cl]
289.66860500141814,273.2771578246367,18.470656075025364,47.400894378761755,9.386676014469872,28.0,420.4718073960073,640.8125364869514,11.799292804493408,4.800389276137522,-0.3279299797522367,-0.2708010450692785,-0.05712893468295811,4.282812755312237,0.8552653414978045,-6.953292804493407,[NH3]CCc1cc2ccccc2cc1.[Cl]
291.89729331133134,274.0347410202494,18.48425988582328,46.95336571724398,9.387273517407298,28.0,422.30187428504695,642.4729783196351,11.779574094451691,4.783867827745942,-0.32723412047225847,-0.2703054583898249,-0.056938073029656935,4.329307362387931,0.8472462811147382,-6.933574094451691,[NH3]CCc1ccc2ccccc2c1.[Cl]
261.27032006970967,243.08668799827188,18.167267269896957,43.79506861689327,9.119347176861178,24.0,393.7143060210814,586.2123469243584,11.854270217133156,5.47845288338437,-0.3299107329330032,-0.2973876539803734,-0.032481103119685585,4.503779118261625,1.1477904905675487,-7.0082702171331555,[NH3]Cc1ccc2ncccc2c1.[Cl]
287.931952876627,274.8179572458228,19.283952894629056,46.34970110491177,9.446531908342536,26.0,419.6039815265823,644.3953338443275,11.847801589832647,5.06814109607225,-0.3344960684206748,-0.27202854046819647,-0.061805822845322884,3.3995086760581916,0.9631911156998574,-7.001801589832646,[NH3]CSc1ccc2ccccc2c1.[Cl]
274.1904178580608,251.39502019969768,17.37086859948842,45.06907239899005,8.144467105932643,25.999999999999996,400.65299236008235,597.8686802992578,11.821117073687443,3.4291899187845365,-0.32646792255965523,-0.23641732176350866,-0.09018385722230036,4.3645066732484885,0.46271073011276953,-6.9751170736874455,[NH3]CCc1ccc(OC)cc1.[Cl]
263.53602781712607,247.53963513589775,18.393189762127967,45.21899263216666,9.369053100217368,25.0,394.0794259142832,590.2541257290856,11.95216567898531,4.98270295558857,-0.3342322067725556,-0.277013646037077,-0.05744711021371625,3.72802197244588,0.9449360643093934,-7.106165678985309,[NH3]Cc1ccc2ccccc2c1.[Cl]
267.61221354383133,250.03921395234545,18.25303965772746,44.08322520778654,9.368194546132573,24.999999999999996,399.14978357865834,597.1048082302997,11.910493433074913,5.080760182060242,-0.32758782700735745,-0.28090639839694126,-0.04673241520301668,4.37806601914853,0.9775642812863119,-7.064493433074911,[NH3]Cc1ccc2c(c1)cccc2.[Cl]
285.55097261157107,271.93548327614127,18.449532839562913,46.403578755687974,9.403060865632233,27.999999999999996,418.7440364093386,637.9031624564718,11.871967854434734,5.030563782469725,-0.32713084931766956,-0.2783821853911503,-0.048553881055646536,4.382106500268085,0.9537488585631354,-7.025967854434734,[NH3][C@H](C)c1ccc2c(c1)cccc2.[Cl]
284.8142314675329,271.9636089193795,18.39667545546298,45.41126169171296,9.401846243521387,28.000000000000004,418.795739738937,637.9561759856866,11.87587042493568,5.033727745288718,-0.32752670370642034,-0.27886243575223885,-0.04852153391688377,4.389540863088201,0.9556956364687584,-7.0298704249356785,[NH3][C@@H](C)c1ccc2c(c1)cccc2.[Cl]
304.834,291.331,19.038,47.163,9.05,26.0,451.461,685.555,10.325,5.042,-0.271,-0.265,-0.007,11.456,0.762,-5.479,[NH3]CCc1ccc(c2cccs2)s1.[Cl]
461.336,459.425,20.832,43.869,9.223,40.0,651.403,1041.303,10.04,5.99,-0.283,-0.277,-0.005,11.687,1.24,-5.194,[NH3]CCc1ccc(c2ccc(c3ccc(c4cccs4)s3)s2)s1.[Cl]
264.250267686006,248.71925724904406,18.52260498486841,45.931680855849514,9.428984611003417,25.000000000000004,391.4858288961254,589.8974343150769,11.961846879721234,5.206931110284857,-0.3265777190358464,-0.2848932034169286,-0.041827732327609946,4.36126021468221,1.0370576193600738,-7.115846879721234,[NH3]Cc1cccc2ccccc12.[Cl]
263.61890130855056,243.83991021294008,18.37270302688711,44.91482828458427,9.601211384653247,21.999999999999996,389.24218433048424,579.6887683822699,12.161699732439736,4.38573943263255,-0.33401138001414515,-0.2654028741400148,-0.06897587335247236,4.1706819422592405,0.7577322017293551,-7.315699732439738,[NH3]CCc1ccc(Br)cc1.[Cl]
