disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,max_atom_area,sasa_area,sasa_volume,ip,ea,dipole_moment,e_philicity,n_philicity
173.4819638579962,153.7973921187638,14.929167699515368,36.14377945956991,8.793775391459036,16.0,276.62672221928244,381.1895835182162,11.18814768910428,0.4383384739152787,4.510647712765843,0.0437492312788644,-6.342147689104281
255.35811424667943,231.3545779607477,17.273208166165407,40.36174265889128,9.098075078168318,23.0,390.4530397188136,566.4443464015297,10.848533225849936,6.108270260524932,4.808952036564749,1.3915799129034525,-6.002533225849935
192.591,168.438,16.762,39.85,9.1,16.0,308.021,429.723,10.807,4.957,1.72,0.788,-5.961
156.816,133.182,14.458,31.316,8.382,13.0,257.86,344.233,11.379,0.646,4.631,0.063,-6.533
183.35279748392023,156.77461559180003,15.02543906816055,33.68216936973646,8.646913979118441,16.0,286.0630197037676,391.7325170149471,11.285431003225808,0.3868037634326521,4.847215949495199,0.0446729390544201,-6.439431003225808
195.0346293530361,177.31421650837785,15.547685508104054,36.55641932252793,9.325831797941971,19.0,298.07788719268626,422.6222555950711,11.098030627390362,0.5168143676014681,4.873430154343505,0.0433820966126396,-6.252030627390361
215.81887127850945,200.34228016426235,15.797335801598043,36.0350367198314,9.403693918958217,22.000000000000004,322.9417101992316,466.6334674644589,11.119218085918876,0.6067472232022023,4.801003702397064,0.0488166049600489,-6.273218085918876
193.7963525493172,169.87859452121765,14.937663132857288,35.04952587923974,8.918977349509273,18.0,300.16867665039126,416.7721333268935,11.280820323072874,0.4647171796535869,4.858269926959222,0.0489634893371459,-6.434820323072872
269.56683632125095,250.5665562808433,18.28068105522094,45.06785718533361,9.369519562157064,25.000000000000004,400.2751326127464,598.3075501527993,10.765687657342797,6.332378079562516,4.813725607237034,1.5465350835256824,-5.919687657342795
150.725,123.443,13.98,35.164,8.116,12.0,248.57,323.821,11.336,0.378,4.758,0.047,-6.49
253.1218040253572,230.729507982944,17.357512603456136,41.53266985771959,8.363126730700191,23.0,384.1612260704618,562.0197152551576,10.875800496858158,6.13601881418311,4.848075256732439,1.4132641106373325,-6.029800496858158
217.65403318588693,193.59545560231277,16.821763686583495,41.946642657704245,9.158156375563578,19.0,336.8265857088718,480.4695498442952,11.15111999309477,5.318935747322538,4.806290887119724,0.984700600620122,-6.30511999309477
209.656982133697,184.6988913476847,17.10924384661575,41.3370458505396,8.88450997752063,16.0,328.570090841568,462.9172391519514,11.02807100852984,5.872422763451992,8.335288954874851,1.2607976139789794,-6.182071008529841
271.6088001115798,256.88251184235537,16.6134268736133,39.07201548313077,8.319602448499126,28.0,398.9452973562765,598.7399491106364,11.124764510884242,4.800675676014577,4.484227037652552,0.768305077836005,-6.278764510884244
240.64194225343755,223.67981124312283,16.080874325294744,38.67054698873318,9.370142758349616,25.0,353.8761195868523,517.2674929422124,11.086203381187069,0.5291196970037982,4.827375413416755,0.0438933733477284,-6.240203381187066
181.73489619601744,152.0536987184253,15.242805562999402,35.35004182413367,7.827228168787905,14.0,292.4315602568236,396.8809680139696,11.20922582538452,2.430918890071521,4.854846257653809,0.2221912987413171,-6.36322582538452
169.38918230209362,142.87445212321384,15.074410140502026,34.721292952295286,9.057963063092185,12.999999999999998,282.4310239374712,379.5752618674877,11.474242330046035,3.942242330046038,4.271172513307574,0.5437564185355694,-6.628242330046037
350.0117310790888,334.6061400077189,19.2896763951573,48.17427012577933,9.565870415604792,34.00000000000001,486.5766805957588,769.2675086202872,10.490241504636666,7.206944351282894,4.943111667429948,2.439895228079326,-5.644241504636664
173.65981089003333,146.89531105247136,14.45665556933148,33.47841144563768,8.23990001127121,15.0,277.396777286412,372.8430774050912,11.312866659594537,0.4038777790301344,4.822566660257547,0.0469111108164389,-6.466866659594536
254.961,234.399,17.853,47.462,9.548,22.0,378.227,584.553,11.644,6.731,6.17,1.918,-6.798
288.8819194686836,272.7742588216912,18.54349255841393,47.36176065749967,9.410750788292365,28.0,417.7906750377703,638.747145298092,10.680999837934245,6.21194103640375,4.830284987728811,1.4503758375309397,-5.834999837934245
367.836851789584,351.2704642240711,18.84058400294325,47.163350467336414,9.338931462477577,36.00000000000001,530.6147484966466,824.7566706903166,10.580802825455024,6.802096196366166,5.045236261025895,1.9568245223525964,-5.7348028254550245
364.09727761519866,346.4982453788758,18.805307504064785,45.20058887006678,9.232694873111818,36.0,522.894191377162,809.5789617454042,10.45189451975761,6.60455597234866,4.815437404039377,1.7624564754650405,-5.605894519757611
263.3709696631309,243.8436251927552,18.57083488834788,45.98049517553612,9.677490163595383,22.0,384.0888198059485,576.0111237701285,11.00938296296036,5.68369566651163,5.128370729367657,1.1506257575045276,-6.163382962960359
558.683,549.122,21.837,50.989,9.161,48.0,728.562,1221.914,10.558,7.894,25.497,3.602,-5.712
548.1798795425156,550.4873124631908,21.74810998800911,50.08811613725096,9.213557738699832,50.0,717.2558503243795,1206.1542669920484,10.285642762216822,7.932853848439881,21.95690247519848,3.862885166687751,-5.439642762216822
496.6350488063927,501.2050403521231,21.313995257733097,50.04395025025801,9.741993219721948,46.00000000000001,667.6432163978301,1105.346205513231,9.97300048038077,7.368000341809219,5.301152042169422,2.807000461611125,-5.12700048038077
461.1390436937872,458.02401436890966,21.20199768641641,48.1209817538272,9.367998761419996,40.00000000000001,632.4031239696368,1028.707116754179,10.144000157314352,7.507000117828229,5.138079358259814,3.0030001617417774,-5.298000157314351
