disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,max_atom_area,sasa_area,sasa_volume,ip,ea,dipole_moment,e_philicity,n_philicity,SMILES
363.49764738529296,350.79817891968395,18.7570722449115,45.08809667199375,9.267974644318578,36.00000000000001,530.2429202107475,822.8227643802368,10.548525376797944,6.775150896569221,6.434631583473662,1.9293560408287114,-5.702525376797941,[NH3+]CCC1=CC=C(/C=C/C2=CC(F)=CC=C2)C=C1.[Cl-]
303.415973912604,284.6644372310199,18.19414725415035,43.47806333150047,9.084033695497496,29.0,446.51472552282263,676.8304454041738,10.528116808256407,6.157633709717616,5.822011624878511,1.3988772586937563,-5.682116808256405,[NH3+]CCOC1=CC=CC2=CC=CC=C21.[Cl-]
360.9857046093,346.95658810728696,18.65460342923796,46.09215967335154,9.214834220570772,36.00000000000001,525.5222277655175,810.2295245197154,10.444190121013289,6.581498415131319,5.991775447783,1.7403696615016924,-5.598190121013288,[NH3+]CCC1=CC=C(/C=C/C2=CC=CC=C2)C=C1.[Cl-]
350.060469345113,335.1281585137965,19.097362816731813,49.86021908854804,9.404406534196125,34.00000000000001,492.11069233005514,774.250325842942,10.40855469171181,7.188014783444158,6.2474672069077135,2.425524391653012,-5.56255469171181,[NH3+]CCC(C=C1)=CC=C1/N=N/C2=CC=CC=C2.[Cl-]
288.57201123823353,274.66318790043783,18.412321869247414,45.519807659266576,9.239664123979546,28.0,418.1386323253506,639.4073785477364,10.621429249302267,6.160207794500635,6.084657243264456,1.4082562698978909,-5.775429249302266,[NH3+]CCC1=CC2=CC=CC=C2C=C1.[Cl-]
289.2434425188777,275.0142980005032,18.335074783498133,45.85849984999104,9.292049634765466,28.000000000000004,420.6962287655468,641.5121441518853,10.620360624417627,6.156487177156953,6.12781592213566,1.4059184018898654,-5.774360624417626,[NH3+]CCc1ccc2ccccc2c1.[Cl-]
260.0151339507164,243.2400662190075,18.271716904169537,45.45729598902418,9.063210226100951,24.0,390.29520674555613,583.4748618869269,10.657684677576691,6.754740193557341,5.988987438042206,1.9087801628450516,-5.811684677576692,[NH3+]Cc1ccc2ncccc2c1.[Cl-]
285.9036592959824,275.7335258631697,19.140537493354532,46.27577393022309,9.475365438668472,26.0,418.1660138434255,642.5683275629099,10.623390733996011,6.57097478862314,5.358538451437182,1.7364392564135331,-5.777390733996013,[NH3+]CSc1ccc2ccccc2c1.[Cl-]
272.0658284719752,252.4888402926432,17.134137341264836,44.29163583282398,8.104367801289966,25.999999999999993,403.11306166062764,600.0654962279922,10.693686264648495,4.964218454566546,6.007220768783937,0.7767629958726024,-5.847686264648496,[NH3+]CCC1=CC=C(OC)C=C1.[Cl-]
267.3986327058814,250.41048804945459,18.231396145053036,45.33258624757048,9.109841665074796,25.0,399.35521616090216,598.0402479664195,10.705148540652894,6.298205316049632,6.0676917693246875,1.5164535029611863,-5.859148540652893,[NH3+]Cc1ccc2ccccc2c1.[Cl-]
267.8096226090606,250.3784797843261,18.196149439999807,45.022452596721514,9.132682557660916,25.0,401.1289100998335,599.0620946999459,10.705968971903058,6.297057923633211,6.083950048124645,1.5158009701871324,-5.859968971903057,[NH3+]CC(C=C1)=CC2=C1C=CC=C2.[Cl-]
259.5494550063624,243.1058749379501,18.32012459667396,41.78163536097082,9.059166682684877,24.000000000000004,387.97089487477814,581.4480982249796,10.643647228066156,6.74287900133665,5.475968076035211,1.8977259762006013,-5.797647228066156,[NH3+]Cc1cnc2ccccc2c1.[Cl-]
286.467050897481,273.7200243316633,18.384419202126885,45.386126196576875,9.45515403456342,28.0,418.76686907511214,638.6729378491909,10.70237840688811,6.279636318258445,5.9620634600875135,1.5019452611629356,-5.85637840688811,[NH3+][C@H](C)C(C=C1)=CC2=C1C=CC=C2.[Cl-]
285.4820608787843,273.0237020764664,18.377988977709386,44.99401176148046,9.452652868286123,27.999999999999996,418.88339606999864,638.8907920349848,10.70214109108418,6.277146074027011,5.9527068172942394,1.5006337493273891,-5.85614109108418,[NH3+][C@@H](C)C(C=C1)=CC2=C1C=CC=C2.[Cl-]
297.83,287.132,19.184,41.058,9.149,26.0,444.772,675.119,10.568,6.796,14.879,1.95,-5.722,[NH3+]CCC1=CC=C(C2=CC=CS2)S1.[Cl-]
453.635,456.585,20.916,42.771,9.328,40.0,646.543,1033.399,10.18,7.57,14.923,3.11,-5.334,[NH3+]CCC1=CC=C(C2=CC=C(C3=CC=C(C4=CC=CS4)S3)S2)S1.[Cl-]
266.88535749622685,250.81529144993647,18.33555932797407,44.598134093351206,9.372600858420824,25.0,396.52914075281126,595.3134472403483,10.733972079714924,6.391193039720607,6.104465425146354,1.5909614639145242,-5.887972079714926,[NH3+]Cc1cccc2ccccc12.[Cl-]
259.66259445534797,244.38431328133913,18.175561077414976,44.03000761645473,9.162404029000555,22.000000000000004,388.86656757097893,578.927301519984,10.937523316694424,5.631102006177326,6.2186864828492014,1.114200972092819,-6.091523316694422,[NH3+]CCC1=CC=C(Br)C=C1.[Cl-]
286.02003719052834,274.6037387187147,19.270965811124093,42.66798607933032,9.194931157262783,24.999999999999996,426.25729728151526,648.4219492447954,10.78721917116279,6.7589340124598944,4.737330854830353,1.914000839171883,-5.941219171162791,[NH3+]Cc1ccc2cccc(Br)c2c1.[Cl-]
282.8705204500952,273.10367262900064,19.500566171733862,45.617400585726664,9.47159438876319,25.000000000000004,418.6962570893485,640.2980237074944,10.811492740117087,6.801470043962393,4.777573327761598,1.955940511175063,-5.965492740117087,[NH3+]Cc1ccc2ccccc2c1Br.[Cl-]
